l1_height,l1_heat,l1_width,l2_height,l2_heat,l2_width,l3_heat,l3_width,creep_rupture_time,iter
2.3233946,1009.555,4.9947095,2.9134682,1100.2786,2.7130655,1000.3174,2.0228075,560.001,1
2.6844602,1055.3038,4.936590499999999,2.0711486,1866.8314,4.9232555,1000.7566,3.6798815,610.001,1
3.0897542,1050.5614,4.9913045,2.9692730000000003,1369.6066,4.0754225,1026.0226,2.1403145,560.001,1
2.8846406000000004,1057.4038,4.4013485,2.8093778,1103.1154,4.1631455000000015,1000.9906,3.3687815000000003,530.001,1
3.1575086,1004.0818,4.1873675000000015,2.5131326,1591.0138,4.9880525,1005.6394,2.4142775000000003,550.001,2
2.8192598,1004.5102,4.9337405,2.430353,1536.1762,4.8488165,1007.5642,4.0398455,590.001,2
3.0595226,1010.1706,4.8593225,2.1675998,1192.3966,4.848012499999999,1033.8118,3.6484085,450.001,2
2.6451134,1001.1838,4.1295485,2.1279014,1874.8498,4.715253499999998,1019.497,3.7018745,590.001,2
2.5469882,1006.8994,4.934511499999998,2.716133,1746.9897999999994,3.5097845000000003,1006.9582,3.6608105,590.001,3
2.730851,1054.3942,4.9698905,2.9840978,1625.6518,3.2817575,1011.169,2.6902535,570.001,3
2.043791,1052.1034,4.9440305,2.7477254,1630.0762,3.5785625000000003,1020.7798,3.1082405,580.001,3
2.3949746,1013.6302,4.9660805,3.1044110000000003,1903.5442,3.8454905,1034.911,2.3757095,580.001,3
2.3505074,1029.3766,4.9504205,3.1798802000000004,2034.7726,4.6172675000000005,1005.4342,4.5282485,500.001,4
2.0338634,1004.1754,4.8427955,2.486927,1896.3586,3.6279905,1011.8842,3.8056775,530.001,4
2.4663386000000003,1029.2458,4.9812275,3.1218266000000003,1509.9658,4.7264165,1000.5634,4.815129499999999,630.001,4
2.0379578,1007.9734,4.9475315,2.2323182,2066.365,2.7216215,1011.2314,3.2122595,470.001,4
2.974595,1033.573,4.7858315000000005,3.1483502000000003,1706.971,4.6748735,1017.6622,2.4557075,540.001,5
2.5280594,1005.8542,4.7893805,3.0166034,1643.395,4.8596735,1026.5194,4.6442495,570.001,5
2.5162922,1032.4126,4.8360995,3.0097154,1441.6246,3.1862735,1005.9502,4.7748005,580.001,5
2.5261718,1000.4002,4.5404885,2.602781,1693.2586,4.9522745000000015,1035.5914,3.5322215000000003,610.001,5
2.5872770000000003,1036.2154,4.8573605,2.2728002,1756.3138,4.3165895,1013.4658,4.7879435,610.001,6
2.4646382,1035.3862,4.767978500000001,2.5385978,1676.2017999999994,4.5194165,1019.911,3.5248535000000003,610.001,6
2.3569322,1010.5846,4.9243295,3.0746474,1299.523,3.3999125,1021.3234,3.5469845,600.001,6
2.3734118,1072.8178,4.7419235,2.6398034,1650.379,4.7342645,1011.547,3.4516055,610.001,6
