l1_height,l1_heat,l1_width,l2_height,l2_heat,l2_width,l3_heat,l3_width,creep_rupture_time
2,1000,2,2,1000,2,1000,2,550
2,1200,2.5,2.2,1200,2.5,1200,2.5,500
2,1400,3,2.4,1400,3,1400,3,450
2,1600,3.5,2.6,1600,3.5,1600,3.5,430
2,1800,4,2.8,1800,4,1800,4,350
2,2000,4.5,3,2000,4.5,2000,4.5,290
2,2200,5,3.2,2200,5,2200,5,280
2.2,1200,4,2,1400,4.5,1600,5,490
2.2,1400,4.5,2.2,1600,5,1800,2,170
2.2,1600,5,2.4,1800,2,2000,2.5,130
2.2,1800,2,2.6,2000,2.5,2200,3,110
2.2,2000,2.5,2.8,2200,3,1000,3.5,230
2.2,2200,3,3,1000,3.5,1200,4,290
2.2,1000,3.5,3.2,1200,4,1400,4.5,480
2.4,1400,2.5,2,1800,3.5,2200,4.5,130
2.4,1600,3,2.2,2000,4,1000,5,420
2.4,1800,3.5,2.4,2200,4.5,1200,2,440
2.4,2000,4,2.6,1000,5,1400,2.5,370
2.4,2200,4.5,2.8,1200,2,1600,3,360
2.4,1000,5,3,1400,2.5,1800,3.5,470
2.4,1200,2,3.2,1600,3,2000,4,260
2.6,1600,4.5,2,2200,2.5,1400,4,460
2.6,1800,5,2.2,1000,3,1600,4.5,300
2.6,2000,2,2.4,1200,3.5,1800,5,380
2.6,2200,2.5,2.6,1400,4,2000,2,120
2.6,1000,3,2.8,1600,4.5,2200,2.5,150
2.6,1200,3.5,3,1800,5,1000,3,580
2.6,1400,4,3.2,2000,2,1200,3.5,330
2.8,1800,3,2,1200,5,2000,3.5,320
2.8,2000,3.5,2.2,1400,2,2200,4,110
2.8,2200,4,2.4,1600,2.5,1000,4.5,310
2.8,1000,4.5,2.6,1800,3,1200,5,520
2.8,1200,5,2.8,2000,3.5,1400,2,510
2.8,1400,2,3,2200,4,1600,2.5,360
2.8,1600,2.5,3.2,1000,4.5,1800,3,370
3,2000,5,2,1600,4,1200,3,470
3,2200,2,2.2,1800,4.5,1400,3.5,350
3,1000,2.5,2.4,2000,5,1600,4,470
3,1200,3,2.6,2200,2,1800,4.5,330
3,1400,3.5,2.8,1000,2.5,2000,5,340
3,1600,4,3,1200,3,2200,2,140
3,1800,4.5,3.2,1400,3.5,1000,2.5,570
3.2,2200,3.5,2,2000,3,1800,2.5,94
3.2,1000,4,2.2,2200,3.5,2000,3,110
3.2,1200,4.5,2.4,1000,4,2200,3.5,200
3.2,1400,5,2.6,1200,4.5,1000,4,550
3.2,1600,2,2.8,1400,5,1200,4.5,390
3.2,1800,2.5,3,1600,2,1400,5,390
3.2,2000,3,3.2,1800,2.5,1600,2,310
